dataset,encoder,classifier,n_train,n_val,n_test,val_macro_f1,val_accuracy,test_macro_f1,test_accuracy,test_f1_ham,test_f1_spam,test_f1_smishing,fit_time_s,predict_time_s
MetaSMS,tfidf,svm,363891,45486,45487,0.8481093265919629,0.9597898254407948,0.845971455803452,0.9589992745179942,0.994373877768172,0.7042105263157895,0.8393299633263951,35.21868674410507,0.1430710689164698
MetaSMS,tfidf,logreg,363891,45486,45487,0.84009405875529,0.9540737809435872,0.8362675531111744,0.9525139050717788,0.991179772277757,0.6944977607165707,0.8231251263391954,45.360313076060265,0.1662966650910675
MetaSMS,bow,logreg,363891,45486,45487,0.833723793516425,0.9542276744492812,0.8284517480051208,0.9525139050717788,0.9926688171469702,0.6769127965252255,0.8157736303431667,104.3097604252398,0.1974724978208542
MetaSMS,bow,svm,363891,45486,45487,0.8301428650321933,0.9541837048762256,0.8266068291712161,0.9531514498647964,0.9929774160082994,0.6698014629049112,0.817041608600438,645.2054401715286,0.1583353169262409
MetaSMS,bow,rf,363891,45486,45487,0.8170245210968922,0.9508420173240116,0.8219882722552416,0.9518104073691384,0.9912677706192428,0.6538823087046437,0.8208147374418384,218.4247569963336,0.760328502394259
MetaSMS,tfidf,rf,363891,45486,45487,0.8208490098645048,0.953765993932199,0.8218687312957353,0.9532393870776266,0.992127659574468,0.6451612903225806,0.8283172439901572,161.8521792218089,0.5834677303209901
MetaSMS,fasttext,rf,363891,45486,45487,0.8029301738814244,0.9510398804027612,0.8043768704914617,0.9505573020863104,0.992435220761264,0.6045939294503692,0.8161014612627516,107.88735552271828,0.45271020475775
MetaSMS,w2v,rf,363891,45486,45487,0.8029355816707241,0.951787363144704,0.7997811831548264,0.9502495218414052,0.9927768540073164,0.5895833333333333,0.8169833621238295,71.56536298198625,0.4504664470441639
MetaSMS,bow,nb,363891,45486,45487,0.7792684885716817,0.936222134283076,0.7805769501803371,0.936399410820674,0.988054083634762,0.5883464566929134,0.7653303102133361,15.83767707226798,0.1456824699416756
MetaSMS,tfidf,nb,363891,45486,45487,0.7771317745235901,0.9447082618827772,0.7741206269380988,0.943390419240662,0.989850952469513,0.5330178533017853,0.799493075042998,15.610991625115275,0.143983747344464
MetaSMS,w2v,logreg,363891,45486,45487,0.7613086297071826,0.9259552389746296,0.7581706112175044,0.9254292435201268,0.9844954991266962,0.5506084466714388,0.739407887854378,52.26416929811239,0.137932872865349
MetaSMS,w2v,svm,363891,45486,45487,0.7595388479867161,0.9360022864177988,0.7572686704934236,0.9349044782025634,0.9893799885405146,0.5205578699510958,0.7618681529886604,64.2219812660478,0.2170333727262914
MetaSMS,fasttext,svm,363891,45486,45487,0.7557645825311582,0.934243503495581,0.7476138429978899,0.9316947699342668,0.987848634805458,0.499172337686224,0.7558205565019875,114.7345402892679,0.1627543517388403
MetaSMS,fasttext,logreg,363891,45486,45487,0.7446660438437928,0.9185023963417316,0.7427304174128633,0.918196407764856,0.9817177500842036,0.5325294447560291,0.7139440573983571,111.94312153058128,0.1436290629208088
MetaSMS,w2v,nb,363891,45486,45487,0.65116940895668,0.887613771270281,0.6552323121516591,0.8896607822015081,0.9792023291234786,0.4679760888129803,0.5185185185185185,37.85428189393133,0.1882944689132273
MetaSMS,fasttext,nb,363891,45486,45487,0.6445187995416743,0.883876357560568,0.6505709113874505,0.8862092465979291,0.9769769229731736,0.4632059326868226,0.5115298785023555,82.61113184969872,0.1906159901991486
