dataset,encoder,classifier,n_train,n_val,n_test,val_macro_f1,val_accuracy,test_macro_f1,test_accuracy,test_f1_ham,test_f1_spam,test_f1_smishing,fit_time_s,predict_time_s
MetaSMS,bow,nb,363891,45486,45487,0.8054492235761855,0.9429934485336148,0.8097302030306938,0.9436981994855673,0.988310648518815,0.6528398213146139,0.7880401392586525,14.856887171976268,0.13855437887832522
MetaSMS,bow,logreg,363891,45486,45487,0.8600623419345643,0.961130897418986,0.8568757737210019,0.9593949919757293,0.9918398317381292,0.7241263440860215,0.8546611453388546,61.93116936273873,0.1705552483908832
MetaSMS,bow,rf,363891,45486,45487,0.8255236677952055,0.9527546937519237,0.8280770499527671,0.9520742190076286,0.9889768793027975,0.6585763448650607,0.8366779256904431,324.83025319036096,0.6323432978242636
MetaSMS,bow,svm,363891,45486,45487,0.8541015413739338,0.9605812777557929,0.8534899827529246,0.9595928507045969,0.9922198619224641,0.7159887798036466,0.8522613065326633,526.065752201248,0.1426711860112846
MetaSMS,tfidf,nb,363891,45486,45487,0.796581612381415,0.9489513256826276,0.7921594695206088,0.9471717193923539,0.9894285032986249,0.5731394354148845,0.8139104698483167,14.924229400698096,0.1372770480811596
MetaSMS,tfidf,logreg,363891,45486,45487,0.8582802180437102,0.9588005100470475,0.8592714794944106,0.958471651241014,0.99068613060767,0.7282313468605208,0.8588969610150414,55.49765904992819,0.14714826177805662
MetaSMS,tfidf,rf,363891,45486,45487,0.8368924289142928,0.9577012707206614,0.8421076115512931,0.9579220436608261,0.9914505029115934,0.6861732644865175,0.8486990672557683,216.87941127084196,0.6522834850475192
MetaSMS,tfidf,svm,363891,45486,45487,0.8664305423106705,0.9639449500945346,0.8684026684606238,0.9639017741332688,0.9935569578213218,0.7457568410114306,0.8658942065491184,29.16648728447035,0.15147747239097953
MetaSMS,w2v,nb,363891,45486,45487,0.6008408406826442,0.8471837488457987,0.6021512778588217,0.8485501352034647,0.952494484865924,0.40953965612867443,0.4444196925818668,35.71847771387547,0.19296802207827568
MetaSMS,w2v,logreg,363891,45486,45487,0.7123051036295315,0.8881414061469464,0.7110188316321274,0.8877921164288698,0.9602864315403926,0.4687125389594821,0.7040575243965075,44.31340912450105,0.13636131398379803
MetaSMS,w2v,rf,363891,45486,45487,0.799575351490506,0.9456096381304138,0.8000187878034901,0.9452151164068855,0.9876911600149199,0.6057142857142858,0.8066509176812647,54.480430143885314,0.4187262626364827
MetaSMS,w2v,svm,363891,45486,45487,0.7239363528269039,0.9127643670579959,0.7217084711972789,0.9121067557763757,0.9739597315436241,0.4556086311974963,0.7355570508507161,61.61257498990744,0.16395137971267104
MetaSMS,fasttext,nb,363891,45486,45487,0.6469993932747908,0.8632106582245086,0.6474453148651192,0.8639611317519291,0.9568809353900203,0.42325680272108845,0.5621982064842492,82.70525728585199,0.18859539879485965
MetaSMS,fasttext,logreg,363891,45486,45487,0.7214515621643457,0.8908235501033285,0.720133382312297,0.891683338096599,0.9615036852344029,0.4912832929782082,0.7076131687242798,100.12102137040347,0.14519378542900085
MetaSMS,fasttext,rf,363891,45486,45487,0.8124593504370852,0.9502484280877632,0.817030120891248,0.9507771451183855,0.9895822260019135,0.6357668589616073,0.8257412777102235,99.96158166276291,0.4483782979659736
MetaSMS,fasttext,svm,363891,45486,45487,0.7352278273418058,0.9168315525656245,0.7304071594360265,0.9147228878580693,0.9742888182513177,0.47692307692307695,0.7400095831336847,116.39925741637126,0.1565723461098969
